Family,Sub-Family,Solution Capability,Capability Narrative (Paramified),Capability Narrative (Plain Text),Responsible Role,Integrator Role,Integrator Responsibility (Paramified),Integrator Responsibility (Plain Text),End User Role,End User Responsibility (Paramified),End User Responsibility (Plain Text),Implementation Status,Stack Inheritable,Provider Origination,Integrator Origination,End User Origination,Main Component,Target Date,Target Date Remarks,Target Date Remarks (Plain Text),Suggested Mappings,Applicable Products,Applicable Collections,Stack,Reviewed By,Reviewed By Email,Reviewed At,Reviewer Notes,Approval Status,Reviewers,Evidences
Asset Management,Component Installation & Maintenance,Secure Disposal Of Media:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust controls to ensure secure disposal of media.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust controls to ensure secure disposal of media.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.6.1_smt.b+NIST_800_171_REV_2
3.8.3_smt.a+NIST_800_171_REV_2
3.8.3_smt.b+NIST_800_171_REV_2
DM-14_smt+ADOBE_CCF_OS_V5
ma-3.3_smt.b+NIST_800_53_REV_4
ma-3.3_smt.b+NIST_800_53_REV_5
mp-4_smt.b+NIST_800_53_REV_4
mp-4_smt.b+NIST_800_53_REV_5
mp-5_smt.a+NIST_800_53_REV_4
mp-5_smt.a+NIST_800_53_REV_5
mp-6.1_smt+NIST_800_53_REV_4
mp-6.1_smt+NIST_800_53_REV_5
mp-6.3_smt+NIST_800_53_REV_4
mp-6.3_smt+NIST_800_53_REV_5
mp-6_smt.a+NIST_800_53_REV_4
mp-6_smt.a+NIST_800_53_REV_5
mp-6_smt.b+NIST_800_53_REV_4
mp-6_smt.b+NIST_800_53_REV_5
si-12.3_smt+NIST_800_53_REV_5
si-21_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Data Protection,Data Encryption,Authentication Credential Protection:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" with ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". The solution is a FIPS 140-2 compliant, for encrypted logical identity and access management to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"".""}]},{""type"":""p"",""children"":[{""text"":""All ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" personnel supporting the deployment environment are required to follow the ""},{""type"":""mention"",""value"":""Rules of Behavior Agreement:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which mandates that they protect their authentication credentials and authenticators. ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" also requires administrative users and personnel with ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" access to safeguard their authenticators and prohibits them from sharing passwords or writing them down in plain sight.""}]}]","#THIS SYSTEM configures @unknown with @unknown. The solution is a FIPS 140-2 compliant, for encrypted logical identity and access management to #THIS SYSTEM.
All #THIS ORGANIZATION personnel supporting the deployment environment are required to follow the @Rules of Behavior Agreement, which mandates that they protect their authentication credentials and authenticators. #THIS ORGANIZATION also requires administrative users and personnel with #THIS SYSTEM access to safeguard their authenticators and prohibits them from sharing passwords or writing them down in plain sight.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.5.10_smt.a+NIST_800_171_REV_2
ia-4.9_smt+NIST_800_53_REV_5
ia-5.1_smt.c+NIST_800_53_REV_4
ia-5.1_smt.c+NIST_800_53_REV_5
ia-5.6_smt+NIST_800_53_REV_4
ia-5.6_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Data Center Protection,Secured Facility Monitoring:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust physical security controls which include monitoring of data center activity.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust physical security controls which include monitoring of data center activity.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.10.2_smt.c+NIST_800_171_REV_2
3.10.3_smt.b+NIST_800_171_REV_2
SO-08_smt+ADOBE_CCF_OS_V5
SO-09_smt+ADOBE_CCF_OS_V5
pe-3.1_smt+NIST_800_53_REV_4
pe-3.1_smt+NIST_800_53_REV_5
pe-6.1_smt+NIST_800_53_REV_4
pe-6.1_smt+NIST_800_53_REV_5
pe-6.4_smt+NIST_800_53_REV_4
pe-6.4_smt+NIST_800_53_REV_5
pe-6_smt.a+NIST_800_53_REV_4
pe-6_smt.a+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Audit Logging,Capacity and Retention:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to centrally manage all data security audit logs for ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"". ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to retain 90 days of searchable audit information and 280 days of archival audit information.""}]}]","The @Change Control Board configures @unknown to centrally manage all data security audit logs for #THIS SYSTEM. @Change Control Board configures @unknown to retain 90 days of searchable audit information and 280 days of archival audit information.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.3.1_smt.e+NIST_800_171_REV_2
3.3.1_smt.f+NIST_800_171_REV_2
SM-11_smt+ADOBE_CCF_OS_V5
au-11_smt+NIST_800_53_REV_4
au-11_smt+NIST_800_53_REV_5
au-14_smt.a+NIST_800_53_REV_5
au-16.1_smt+NIST_800_53_REV_5
au-4_smt+NIST_800_53_REV_4
au-4_smt+NIST_800_53_REV_5
au-5.1_smt+NIST_800_53_REV_4
au-5.1_smt+NIST_800_53_REV_5
sa-8.22_smt+NIST_800_53_REV_5
si-12_smt+NIST_800_53_REV_4
si-12_smt+NIST_800_53_REV_5
si-21_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Development,System Development Requirements Approval,"[{""type"":""p"",""children"":[{""text"":""Software projects are scoped and approved by the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Requirements are prioritized for development, testing, staging, and deployment within each project.""}]}]","Software projects are scoped and approved by the @Change Control Board in @unknown. Requirements are prioritized for development, testing, staging, and deployment within each project.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Change Management Process,,,,"sa-10_smt.a+NIST_800_53_REV_4
sa-10_smt.a+NIST_800_53_REV_5
sa-10_smt.b+NIST_800_53_REV_4
sa-10_smt.b+NIST_800_53_REV_5
sa-10_smt.d+NIST_800_53_REV_4
sa-10_smt.d+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Asset Management,Component Installation & Maintenance,Remote Maintenance,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust remote maintenance controls.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust remote maintenance controls.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.7.5_smt.a+NIST_800_171_REV_2
3.7.5_smt.b+NIST_800_171_REV_2
3.7.6_smt.a+NIST_800_171_REV_2
IAM-36_smt+ADOBE_CCF_OS_V5
IAM-37_smt+ADOBE_CCF_OS_V5
ma-1_smt.a.1+NIST_800_53_REV_5
ma-1_smt.a.2+NIST_800_53_REV_5
ma-2_smt.a+NIST_800_53_REV_4
ma-2_smt.a+NIST_800_53_REV_5
ma-2_smt.b+NIST_800_53_REV_4
ma-2_smt.b+NIST_800_53_REV_5
ma-4.1_smt.a+NIST_800_53_REV_5
ma-4.1_smt.b+NIST_800_53_REV_5
ma-4.2_smt+NIST_800_53_REV_4
ma-4.3_smt.a+NIST_800_53_REV_4
ma-4.3_smt.a+NIST_800_53_REV_5
ma-4.3_smt.b+NIST_800_53_REV_4
ma-4.3_smt.b+NIST_800_53_REV_5
ma-4.4_smt.a+NIST_800_53_REV_5
ma-4.4_smt.b+NIST_800_53_REV_5
ma-4.6_smt+NIST_800_53_REV_4
ma-4.6_smt+NIST_800_53_REV_5
ma-4.7_smt+NIST_800_53_REV_5
ma-4_smt.a+NIST_800_53_REV_4
ma-4_smt.a+NIST_800_53_REV_5
ma-4_smt.b+NIST_800_53_REV_4
ma-4_smt.b+NIST_800_53_REV_5
ma-4_smt.c+NIST_800_53_REV_4
ma-4_smt.c+NIST_800_53_REV_5
ma-4_smt.e+NIST_800_53_REV_4
ma-4_smt.e+NIST_800_53_REV_5
ma-5_smt.a+NIST_800_53_REV_4
ma-5_smt.a+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Data Center Access,Visitor Access Records:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust physical security controls which include logging and approving visitor access to data centers.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust physical security controls which include logging and approving visitor access to data centers.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.10.4_smt.a+NIST_800_171_REV_2
SO-10_smt+ADOBE_CCF_OS_V5
pe-8.1_smt+NIST_800_53_REV_4
pe-8.1_smt+NIST_800_53_REV_5
pe-8.3_smt+NIST_800_53_REV_5
pe-8_smt.a+NIST_800_53_REV_4
pe-8_smt.a+NIST_800_53_REV_5
pe-8_smt.b+NIST_800_53_REV_4
pe-8_smt.b+NIST_800_53_REV_5
pe-8_smt.c+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Data Security Alert Sources,Data Security Monitoring Criteria Review:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" conducts quarterly reviews of ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" alerts, which are collected in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to ensure compliance with data protection standards and authoritative advisories.""}]}]","The @Change Control Board conducts quarterly reviews of @unknown alerts, which are collected in @unknown to ensure compliance with data protection standards and authoritative advisories.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"SM-13_smt+ADOBE_CCF_OS_V5
au-12.3_smt+NIST_800_53_REV_4
au-12.3_smt+NIST_800_53_REV_5
au-12_smt.b+NIST_800_53_REV_4
au-12_smt.b+NIST_800_53_REV_5
au-2.3_smt+NIST_800_53_REV_4
au-2_smt.c+NIST_800_53_REV_4
au-2_smt.d+NIST_800_53_REV_5
au-2_smt.e+NIST_800_53_REV_5
au-6_smt.c+NIST_800_53_REV_5
si-4.16_smt+NIST_800_53_REV_4
si-4.16_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Data Center Access,Physical Access Logging:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust physical security controls which include logging of physical access to sensitive areas within data centers.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust physical security controls which include logging of physical access to sensitive areas within data centers.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.10.4_smt.a+NIST_800_171_REV_2
3.4.5_smt.a+NIST_800_171_REV_2
3.4.5_smt.b+NIST_800_171_REV_2
3.4.5_smt.d+NIST_800_171_REV_2
au-6.7_smt+NIST_800_53_REV_4
au-6.7_smt+NIST_800_53_REV_5
pe-3_smt.b+NIST_800_53_REV_4
pe-3_smt.b+NIST_800_53_REV_5
pe-6_smt.b+NIST_800_53_REV_4
pe-6_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Data Security Monitoring,Unauthorized Network Services:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" reviews ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" quarterly. Any unauthorized ports or services found are reviewed with the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" for approval or remediation.""}]}]","The @Change Control Board reviews @unknown quarterly. Any unauthorized ports or services found are reviewed with the @Change Control Board for approval or remediation.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"NO-06_smt+ADOBE_CCF_OS_V5
si-4.22_smt+NIST_800_53_REV_4
si-4.22_smt.a+NIST_800_53_REV_5
si-4.22_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,DoD General Readiness,Role Assignment,"[{""type"":""p"",""children"":[{""text"":""When an individual is assigned to a role, their risk level is inherent based on that role. Each role within the organization and the associated risk level are described within the SSP and have been determined to be either high-risk or severe depending on the level of access.""}]}]","When an individual is assigned to a role, their risk level is inherent based on that role. Each role within the organization and the associated risk level are described within the SSP and have been determined to be either high-risk or severe depending on the level of access.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.2.2_smt.b+NIST_800_171_REV_2
gr-5_dod_smt.d+DOD_GR",,,,,,,,NOT_SET,,
Business Continuity,Resiliency Strategy,Telecommunications Service Priority:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform that enables robust telecommunications service priority.""}]}]","#THIS SYSTEM uses @unknown, a #PROGRAM TYPE-compliant cloud platform that enables robust telecommunications service priority.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"BM-05_smt+ADOBE_CCF_OS_V5
cp-7.3_smt+NIST_800_53_REV_4
cp-7.3_smt+NIST_800_53_REV_5
cp-8.1_smt.a+NIST_800_53_REV_4
cp-8.1_smt.a+NIST_800_53_REV_5
cp-8.1_smt.b+NIST_800_53_REV_4
cp-8.1_smt.b+NIST_800_53_REV_5
cp-8.2_smt+NIST_800_53_REV_4
cp-8.2_smt+NIST_800_53_REV_5
cp-8.3_smt+NIST_800_53_REV_4
cp-8.3_smt+NIST_800_53_REV_5
cp-8.4_smt.a+NIST_800_53_REV_4
cp-8.4_smt.a+NIST_800_53_REV_5
cp-8.4_smt.b+NIST_800_53_REV_4
cp-8.4_smt.b+NIST_800_53_REV_5
cp-8_smt+NIST_800_53_REV_4
cp-8_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Business Continuity,Contingency Planning,Contingency Plan,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" has designed a ""},{""type"":""mention"",""value"":""Contingency Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to ensure ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" can continue operations during a disaster. Personnel follow defined roles, responsibilities, and procedures, utilizing multiple availability zones from ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platforms. The ""},{""type"":""mention"",""value"":""BCP Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" maintains the ""},{""type"":""mention"",""value"":""Contingency Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", updated annually, and shared with relevant personnel. Stakeholders are notified via email of any updates or changes, and access is approved by the ""},{""type"":""mention"",""value"":""BCP Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS ORGANIZATION has designed a @Contingency Plan to ensure #THIS SYSTEM can continue operations during a disaster. Personnel follow defined roles, responsibilities, and procedures, utilizing multiple availability zones from #PROGRAM TYPE-compliant cloud platforms. The @GRC Admin maintains the @Contingency Plan, updated annually, and shared with relevant personnel. Stakeholders are notified via email of any updates or changes, and access is approved by the @GRC Admin.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Contingency Plan,,,,"BC-01_smt+ADOBE_CCF_OS_V5
BC-03_smt+ADOBE_CCF_OS_V5
cp-2.1_smt+NIST_800_53_REV_4
cp-2.1_smt+NIST_800_53_REV_5
cp-2_smt.a+NIST_800_53_REV_4
cp-2_smt.a+NIST_800_53_REV_5
cp-2_smt.b+NIST_800_53_REV_4
cp-2_smt.b+NIST_800_53_REV_5
cp-2_smt.e+NIST_800_53_REV_4
cp-2_smt.e+NIST_800_53_REV_5
cp-2_smt.f+NIST_800_53_REV_4
cp-2_smt.f+NIST_800_53_REV_5
rpl-02_smt+KSI_PHASE_1
sa-8.24_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Entity Governance,Information Security Program,Security Program Roles & Responsibilities,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""GRC Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" plans and coordinates security activities with applicable component owners. Activities include:""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""vulnerability scanning,""}]},{""type"":""li"",""children"":[{""text"":""penetration testing,""}]},{""type"":""li"",""children"":[{""text"":""security documentation reviews,""}]},{""type"":""li"",""children"":[{""text"":""disaster recovery testing and execution,""}]},{""type"":""li"",""children"":[{""text"":""physical and logical access reviews, and""}]},{""type"":""li"",""children"":[{""text"":""capacity planning""}]}]},{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" uses an email distribution list to notify team members involved in these activities.""}]}]","The @GRC Admin plans and coordinates security activities with applicable component owners. Activities include:
vulnerability scanning,
penetration testing,
security documentation reviews,
disaster recovery testing and execution,
physical and logical access reviews, and
capacity planning

#THIS ORGANIZATION uses an email distribution list to notify team members involved in these activities.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Continuous Monitoring Process,,,,"SG-11_smt+ADOBE_CCF_OS_V5
pl-2.3_smt+NIST_800_53_REV_4
pl-2_smt.a+NIST_800_53_REV_5
sa-10.7_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Data Center Protection,Data Center Badge & Key Protection:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements robust physical security controls which include ensuring data center badges and keys are adequately protected.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements robust physical security controls which include ensuring data center badges and keys are adequately protected.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.10.5_smt.a+NIST_800_171_REV_2
3.10.5_smt.b+NIST_800_171_REV_2
3.10.5_smt.c+NIST_800_171_REV_2
SO-11_smt+ADOBE_CCF_OS_V5
pe-3_smt.e+NIST_800_53_REV_4
pe-3_smt.e+NIST_800_53_REV_5
pe-3_smt.f+NIST_800_53_REV_4
pe-3_smt.f+NIST_800_53_REV_5
pe-3_smt.g+NIST_800_53_REV_4
pe-3_smt.g+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,System Monitoring,Relevant Vulnerabilities,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""InfoSec Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" establishes a channel for receiving public vulnerability reports for relevant components within ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @InfoSec Admin establishes a channel for receiving public vulnerability reports for relevant components within #THIS SYSTEM.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Security Monitoring Process,,,,"3.14.3_smt.a+NIST_800_171_REV_2
3.14.3_smt.b+NIST_800_171_REV_2
piy-03_smt+KSI_PHASE_1
ra-5.11_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,Compliance Risk Assessment,NIAP Alternatives,"[{""type"":""p"",""children"":[{""text"":""Non-NIAP components within the boundary use FIPS 140-2 validated crypto modules.""}]}]","Non-NIAP components within the boundary use FIPS 140-2 validated crypto modules.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Cryptographic Module Review Process,,,,"sa-4.7_smt.b+NIST_800_53_REV_4
sa-4.7_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Business Continuity,Backup and Recovery,Backup Recovery:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" to utilize multiple zones, with essential information backed up to ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"",  allowing for roll back to a known state within 6 hours. The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" has a documented recovery playlist in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to aid in coordination of the roll back process.""}]}]","The @Change Control Board configures #THIS SYSTEM to utilize multiple zones, with essential information backed up to @unknown,  allowing for roll back to a known state within 6 hours. The @DevOps Admin has a documented recovery playlist in @unknown to aid in coordination of the roll back process.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.8.9_smt.a+NIST_800_171_REV_2
BM-02_smt+ADOBE_CCF_OS_V5
cp-10_smt+NIST_800_53_REV_4
cp-10_smt+NIST_800_53_REV_5
cp-6_smt.a+NIST_800_53_REV_4
cp-6_smt.a+NIST_800_53_REV_5
cp-9.2_smt+NIST_800_53_REV_4
cp-9.2_smt+NIST_800_53_REV_5
rpl-03_smt+KSI_PHASE_1
sa-8.24_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Entity Governance,Governance Documents,Key Document Access:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" documentation is protected and only given to authorized personnel. ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" uses FIPS 140-2 validated cryptography for encryption and requires all users to authenticate before granting access to files.""}]}]","#THIS SYSTEM documentation is protected and only given to authorized personnel. @unknown uses FIPS 140-2 validated cryptography for encryption and requires all users to authenticate before granting access to files.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.8.1_smt.b+NIST_800_171_REV_2
3.8.1_smt.d+NIST_800_171_REV_2
SG-03_smt+ADOBE_CCF_OS_V5
cm-8.1_smt+NIST_800_53_REV_4
cm-8.1_smt+NIST_800_53_REV_5
cm-8_smt.b+NIST_800_53_REV_4
cm-8_smt.b+NIST_800_53_REV_5
cm-9_smt.d+NIST_800_53_REV_4
cm-9_smt.d+NIST_800_53_REV_5
cm-9_smt.e+NIST_800_53_REV_5
cp-2_smt.f+NIST_800_53_REV_4
cp-2_smt.f+NIST_800_53_REV_5
cp-2_smt.g+NIST_800_53_REV_4
cp-2_smt.g+NIST_800_53_REV_5
cp-2_smt.h+NIST_800_53_REV_5
ir-8_smt.e+NIST_800_53_REV_5
ir-8_smt.f+NIST_800_53_REV_4
pl-2_smt.e+NIST_800_53_REV_4
pl-2_smt.e+NIST_800_53_REV_5
ps-7_smt.c+NIST_800_53_REV_4
ps-7_smt.c+NIST_800_53_REV_5
sa-4_smt.e+NIST_800_53_REV_4
sa-4_smt.f+NIST_800_53_REV_5
sa-5_smt.a+NIST_800_53_REV_4
sa-5_smt.a+NIST_800_53_REV_5
sa-5_smt.b+NIST_800_53_REV_4
sa-5_smt.b+NIST_800_53_REV_5
sa-5_smt.c+NIST_800_53_REV_4
sa-5_smt.c+NIST_800_53_REV_5
sa-5_smt.d+NIST_800_53_REV_4
sa-5_smt.d+NIST_800_53_REV_5
sa-5_smt.e+NIST_800_53_REV_4
sa-9_smt.a+NIST_800_53_REV_4
sa-9_smt.a+NIST_800_53_REV_5
sr-2_smt.c+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
